%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1520814131829353982,185,1520814131828329086,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814132833083226,186,1520814132831809997,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814133815627675,187,1520814133814382076,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814134828634994,188,1520814134827490091,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814135830317399,189,1520814135829284906,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814136808145281,190,1520814136807020902,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814137756290182,191,1520814137755536079,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814138827261548,192,1520814138826287031,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814139828434730,193,1520814139827517032,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814140831022103,194,1520814140829884052,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814141811036536,195,1520814141809829950,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814142728897862,196,1520814142728229045,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814143731651731,197,1520814143730360984,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814144807934364,198,1520814144806432008,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814145784773048,199,1520814145783623933,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814146767036609,200,1520814146766309976,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814147777137736,201,1520814147776104927,map,1,1,21.432505,-157.789298333,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814148781971993,202,1520814148781090021,map,1,1,21.432505,-157.789296667,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814149764263367,203,1520814149763248920,map,1,1,21.432505,-157.789296667,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814150801341870,204,1520814150800137042,map,1,1,21.432505,-157.789296667,20.9,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
