%time,field.data
1520818018528454584,47
1520818018602756393,47
1520818018676376547,47
1520818018751961873,47
1520818018825751866,47
1520818018899338344,47
1520818018974698427,47
1520818019048751358,47
1520818019122397892,47
1520818019196210719,47
1520818019270519720,47
1520818019344211426,47
1520818019419669807,47
1520818019478567432,47
1520818019538368742,47
1520818019597509379,47
1520818019671442341,47
1520818019745170676,47
1520818019819596185,47
1520818019894836078,47
1520818019968449203,47
1520818020042269263,47
1520818020117684577,47
1520818020191226539,47
1520818020265443682,47
1520818020338761688,47
1520818020413617193,47
1520818020488603164,47
1520818020562566814,47
1520818020636117355,47
1520818020710676398,47
1520818020770218072,47
1520818020829479343,47
1520818020903897311,47
1520818020977569683,47
1520818021051689344,47
1520818021125628367,47
1520818021199400656,47
1520818021274941156,47
1520818021348701596,47
1520818021422512698,47
1520818021497793589,47
1520818021571795839,47
1520818021645696667,47
1520818021719680130,47
1520818021793054617,47
1520818021868930666,47
1520818021942492682,47
1520818022016471782,47
1520818022075678015,47
1520818022135265591,47
1520818022208914008,47
1520818022284252996,47
1520818022357848455,47
1520818022431893835,47
1520818022506025262,47
1520818022579265300,47
1520818022655332231,47
1520818022729312187,47
1520818022802532975,47
1520818022878316116,47
1520818022951892972,47
1520818023025755330,47
1520818023099766193,47
1520818023172948563,47
1520818023249348923,47
1520818023308275129,47
1520818023367828781,47
1520818023426812060,47
1520818023500851743,47
1520818023574616797,47
1520818023648547793,47
1520818023724269533,47
1520818023797688556,47
1520818023871774888,47
1520818023945704374,47
1520818024020938067,47
1520818024095359692,47
1520818024168479383,47
1520818024242118925,47
1520818024316756074,47
1520818024391771079,47
1520818024465873462,47
1520818024539271024,47
1520818024598527012,47
1520818024658343671,47
1520818024717134578,47
1520818024791040378,47
1520818024867180293,47
1520818024940674608,47
1520818025014507491,47
1520818025089927519,47
1520818025163564157,47
1520818025237459802,47
1520818025311281039,47
1520818025385772799,47
1520818025460890848,47
1520818025534956373,47
1520818025608358027,47
1520818025682367843,47
1520818025757640223,47
1520818025831302145,47
1520818025890904712,47
1520818025950186043,47
1520818026009791179,47
1520818026083503694,47
1520818026157289609,47
1520818026232428187,47
1520818026306524109,47
1520818026380259307,47
1520818026454702983,47
1520818026528239381,47
1520818026603532983,47
1520818026677367880,47
1520818026751145027,47
